,model_name,model_category,batch_size,model_parameters,num_inference_steps,precision,inference_time,device_to_host_time,host_to_device_time,avg_time,communication_time
0,efficientnet_b0,efficientnet,16,5288548.0,10,bfloat16,0.007969379425048828,0.003360225260257721,0.5833736509084702,0.5947032555937767,0.5867338761687279
1,efficientnet_b0,efficientnet,32,5288548.0,10,bfloat16,0.004049777984619141,0.0031559571623802187,0.35948765724897386,0.3666933923959732,0.36264361441135406
2,efficientnet_b0,efficientnet,64,5288548.0,10,bfloat16,0.00204731747508049,0.00336146280169487,0.25304120518267154,0.25844998545944686,0.2564026679843664
3,efficientnet_b0,efficientnet,16,5288548.0,10,float16,0.003140486776828766,0.003570495545864105,0.7163773074746131,0.723088289797306,0.7199478030204772
4,efficientnet_b0,efficientnet,16,5288548.0,32,float16,0.008823191281408072,0.0036151865497231483,0.8245828491635621,0.8370212269946933,0.8281980357132852
5,efficientnet_b0,efficientnet,32,5288548.0,10,float16,0.0026405036449432375,0.0034995868802070616,0.3369265258312225,0.3430666163563728,0.3404261127114296
6,efficientnet_b0,efficientnet,64,5288548.0,10,float16,0.002065705880522728,0.0035407207906246185,0.4296298138797283,0.4352362405508757,0.43317053467035294
7,efficientnet_b0,efficientnet,16,5288548.0,10,float32,0.00917334258556366,0.006204080581665039,0.4381436720490456,0.4535210952162743,0.44434775263071064
8,efficientnet_b0,efficientnet,32,5288548.0,10,float32,0.004170407354831695,0.006146533042192459,0.28533591628074645,0.29565285667777064,0.29148244932293893
9,efficientnet_b0,efficientnet,64,5288548.0,10,float32,0.00198700949549675,0.0068531505763530735,0.1737510770559311,0.18259123712778091,0.18060422763228418
10,efficientnet_b0,efficientnet,16,5288548.0,10,float64,0.009204785525798797,0.006402069330215454,0.014740081131458282,0.030346935987472533,0.021142150461673736
11,efficientnet_b0,efficientnet,32,5288548.0,10,float64,0.004193966835737228,0.006454400718212128,0.008086370676755905,0.01873473823070526,0.014540771394968033
12,efficientnet_b0,efficientnet,64,5288548.0,10,float64,0.0022260602563619614,0.006636646017432213,0.003956754505634308,0.012819460779428481,0.01059340052306652
13,efficientnet_b1,efficientnet,16,7794184.0,10,bfloat16,0.011069060862064361,0.0032453253865242005,0.7069861948490143,0.7213005810976029,0.7102315202355385
14,efficientnet_b1,efficientnet,32,7794184.0,10,bfloat16,0.005577249825000763,0.0031512364745140075,0.4292850948870182,0.43801358118653294,0.4324363313615322
15,efficientnet_b1,efficientnet,64,7794184.0,10,bfloat16,0.0029992517083883286,0.003643656149506569,0.29722299315035344,0.30386590100824834,0.30086664929986
16,efficientnet_b1,efficientnet,16,7794184.0,10,float16,0.01203852891921997,0.003547309339046478,0.8410255119204522,0.8566113501787186,0.8445728212594986
17,efficientnet_b1,efficientnet,32,7794184.0,10,float16,0.005985175818204879,0.003441973775625229,0.4986499950289726,0.5080771446228027,0.5020919688045978
18,efficientnet_b1,efficientnet,64,7794184.0,10,float16,0.002879904583096504,0.003348337486386299,0.4704220686107874,0.4766503106802702,0.4737704060971737
