,device,device_type,model_name,model_category,batch_size,num_inference_steps,precision,model_parameters,inference_time,device_to_host_time,host_to_device_time,avg_time,communication_time,gpu_utilization,gpu_mem_used,gpu_mem_total,gpu_temp,gpu_power,gpu_count,cuda_version,cudnn_version,cuda_device_name,max_gpu_mem_allocated,max_gpu_mem_reserved
18,cuda,cuda,efficientnet_b0,efficientnet,16.0,1024.0,float64,5288548.0,0.0004125,0.00024375,0.00025625,0.0146,0.0005,8.6667,934.3333,40960.0,27.6667,35.64,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",800.77,1336.0
19,cuda,cuda,efficientnet_b0,efficientnet,16.0,512.0,float64,5288548.0,0.00044375,0.00024375,0.00025625,0.0151,0.0005,9.0,934.3333,40960.0,28.0,43.8133,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",800.77,1336.0
20,cuda,cuda,efficientnet_b0,efficientnet,32.0,1024.0,float64,5288548.0,0.000228125,0.000225,0.000409375,0.0276,0.000634375,9.0,934.3333,40960.0,28.0,52.3567,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",821.26,1336.0
21,cuda,cuda,efficientnet_b0,efficientnet,32.0,512.0,float64,5288548.0,0.000234375,0.000221875,0.000409375,0.0276,0.0006312500000000001,9.3333,934.3333,40960.0,28.0,57.89,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",821.26,1336.0
22,cuda,cuda,efficientnet_b0,efficientnet,64.0,1024.0,float64,5288548.0,0.0001140625,0.000178125,0.000484375,0.0497,0.0006625,8.0,1391.6667,40960.0,27.6667,65.6333,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2708.0
23,cuda,cuda,efficientnet_b0,efficientnet,64.0,512.0,float64,5288548.0,0.0001171875,0.0001796875,0.0004828125,0.0498,0.0006625,8.3333,1391.6667,40960.0,28.0,39.4133,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2708.0
24,cuda,cuda,efficientnet_b1,efficientnet,16.0,1024.0,bfloat16,7794184.0,0.00064375,6.25e-05,6.25e-06,0.0114,6.875e-05,5.6667,1391.6667,40960.0,26.6667,36.9633,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2708.0
25,cuda,cuda,efficientnet_b1,efficientnet,16.0,512.0,bfloat16,7794184.0,0.00065,6.25e-05,6.25e-06,0.0115,6.875e-05,7.0,1391.6667,40960.0,26.6667,35.19,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2708.0
26,cuda,cuda,efficientnet_b1,efficientnet,32.0,1024.0,bfloat16,7794184.0,0.000321875,5.9375e-05,0.00019375,0.0184,0.000253125,6.0,1391.6667,40960.0,26.6667,35.3567,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2708.0
27,cuda,cuda,efficientnet_b1,efficientnet,32.0,512.0,bfloat16,7794184.0,0.000325,5.9375e-05,0.000190625,0.0184,0.00025,4.6667,1391.6667,40960.0,26.6667,35.3433,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2708.0
