,device,device_type,model_name,model_category,batch_size,num_inference_steps,precision,model_parameters,inference_time,device_to_host_time,host_to_device_time,avg_time,cpu_count,cpu_utilization,cpu_memory_used,cpu_memory_available
0,cpu,cpu,efficientnet_b0,efficientnet,16.0,512.0,float32,5288548.0,0.06319375,0.0,6.25e-06,1.0113,12.0,52.2,7027.578125,9198.72265625
1,cpu,cpu,efficientnet_b0,efficientnet,32.0,512.0,float32,5288548.0,0.054328125,0.0,0.0,1.7386,12.0,52.2,7018.92578125,9207.375
2,cpu,cpu,efficientnet_b0,efficientnet,64.0,512.0,float32,5288548.0,0.0535453125,0.0,0.0,3.4269,12.0,52.6,7070.73828125,9155.5625
3,cpu,cpu,efficientnet_b0,efficientnet,16.0,512.0,float64,5288548.0,0.16765,0.0,0.0,2.6824,12.0,52.4,7128.26171875,9098.0390625
4,cpu,cpu,efficientnet_b0,efficientnet,32.0,512.0,float64,5288548.0,0.1729875,0.0,0.0,5.5356,12.0,52.3,7213.36328125,9012.9375
5,cpu,cpu,efficientnet_b0,efficientnet,64.0,512.0,float64,5288548.0,0.160796875,0.0,0.0,10.291,12.0,52.8,7300.35546875,8925.9453125
6,cpu,cpu,efficientnet_b1,efficientnet,16.0,512.0,float32,7794184.0,0.07579375,6.25e-06,0.0,1.2128,12.0,53.8,7210.6875,9015.61328125
7,cpu,cpu,efficientnet_b1,efficientnet,32.0,512.0,float32,7794184.0,0.075759375,0.0,0.0,2.4243,12.0,54.1,7140.5859375,9085.71484375
8,cpu,cpu,efficientnet_b1,efficientnet,64.0,512.0,float32,7794184.0,0.074975,0.0,0.0,4.7984,12.0,53.8,7275.484375,8950.81640625
9,cpu,cpu,efficientnet_b1,efficientnet,16.0,512.0,float64,7794184.0,0.23640625,0.0,0.0,3.7825,12.0,52.1,7326.74609375,8899.5546875
10,cpu,cpu,efficientnet_b1,efficientnet,32.0,512.0,float64,7794184.0,0.242515625,0.0,0.0,7.7605,12.0,53.0,7249.09765625,8977.203125
11,cpu,cpu,efficientnet_b1,efficientnet,64.0,512.0,float64,7794184.0,0.2290859375,0.0,0.0,14.6616,12.0,53.0,7393.23828125,8833.0625
12,cpu,cpu,efficientnet_b2,efficientnet,16.0,512.0,float32,9109994.0,0.0732875,0.0,6.25e-06,1.1727,12.0,52.8,7310.13671875,8916.1640625
13,cpu,cpu,efficientnet_b2,efficientnet,32.0,512.0,float32,9109994.0,0.07243125,0.0,0.0,2.3179,12.0,53.1,7320.265625,8906.03515625
14,cpu,cpu,efficientnet_b2,efficientnet,64.0,512.0,float32,9109994.0,0.077275,0.0,1.5625e-06,4.9457,12.0,54.4,7534.06640625,8692.234375
15,cpu,cpu,efficientnet_b2,efficientnet,16.0,512.0,float64,9109994.0,0.25285625,0.0,0.0,4.0457,12.0,54.3,7535.328125,8690.97265625
16,cpu,cpu,efficientnet_b2,efficientnet,32.0,512.0,float64,9109994.0,0.267809375,3.125e-06,3.125e-06,8.57,12.0,53.4,7594.01171875,8632.2890625
17,cpu,cpu,efficientnet_b2,efficientnet,64.0,512.0,float64,9109994.0,0.2475046875,0.0,1.5625e-06,15.8404,12.0,54.1,7650.609375,8575.69140625
18,cpu,cpu,efficientnet_b3,efficientnet,16.0,512.0,float32,12233232.0,0.09994375,0.0,0.0,1.5991,12.0,54.1,7526.8359375,8699.46484375
19,cpu,cpu,efficientnet_b3,efficientnet,32.0,512.0,float32,12233232.0,0.100296875,0.0,0.0,3.2095,12.0,54.8,7475.359375,8750.94140625
20,cpu,cpu,efficientnet_b3,efficientnet,64.0,512.0,float32,12233232.0,0.104921875,0.0,0.0,6.7151,12.0,54.7,7621.26171875,8605.0390625
