,device,device_type,model_name,model_category,batch_size,num_inference_steps,precision,model_parameters,inference_time,device_to_host_time,host_to_device_time,avg_time,cpu_count,cpu_utilization,cpu_memory_used,cpu_memory_available
32,cpu,cpu,efficientnet_b4,efficientnet,16.0,1024.0,float32,19341616.0,0.06645625,0.0,0.0,1.0633,128.0,0.8,4337.078125,250140.16796875
33,cpu,cpu,efficientnet_b4,efficientnet,16.0,512.0,float32,19341616.0,0.06883125,0.0,0.0,1.1013,128.0,0.8,4343.29296875,250133.890625
34,cpu,cpu,efficientnet_b4,efficientnet,32.0,512.0,float32,19341616.0,0.074175,0.0,0.0,2.3736,128.0,0.8,5358.453125,248245.62109375
35,cpu,cpu,efficientnet_b4,efficientnet,64.0,512.0,float32,19341616.0,0.077884375,0.0,0.0,4.9847,128.0,0.8,5444.3984375,248159.61328125
36,cpu,cpu,efficientnet_b4,efficientnet,16.0,1024.0,float64,19341616.0,0.25290625,0.0,0.0,4.0465,128.0,0.8,4349.91015625,250126.609375
37,cpu,cpu,efficientnet_b4,efficientnet,16.0,512.0,float64,19341616.0,0.2522625,0.0,0.0,4.0362,128.0,0.8,4404.96484375,250072.2265625
38,cpu,cpu,efficientnet_b4,efficientnet,32.0,512.0,float64,19341616.0,0.255609375,0.0,0.0,8.1796,128.0,0.8,5487.53515625,248116.35546875
39,cpu,cpu,efficientnet_b4,efficientnet,64.0,512.0,float64,19341616.0,0.262965625,0.0,1.5625e-06,16.8299,128.0,0.8,5516.98046875,248089.57421875
40,cpu,cpu,mobilenetv2_100,misc,16.0,1024.0,float32,3504872.0,0.01441875,0.0,0.0,0.2307,128.0,0.8,4356.3125,250113.25
41,cpu,cpu,mobilenetv2_100,misc,16.0,512.0,float32,3504872.0,0.0144125,0.0,0.0,0.2306,128.0,0.8,4357.10546875,250112.43359375
42,cpu,cpu,mobilenetv2_100,misc,32.0,512.0,float32,3504872.0,0.01731875,0.0,0.0,0.5542,128.0,0.8,5422.31640625,248177.2734375
